City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Conakry,GN,2021-10-03 20:04:04,9.538,-13.6773,79.36,79,100,4.25
129,Dakar,SN,2021-10-03 20:00:05,14.6937,-17.4441,81.48,75,16,5.7
130,Qaanaaq,GL,2021-10-03 20:01:04,77.484,-69.3632,31.21,97,100,7.11
131,Orzhytsya,UA,2021-10-03 20:04:04,49.7918,32.7012,46.72,59,1,7.34
132,Sompeta,IN,2021-10-03 20:04:04,18.9333,84.6,80.24,82,62,6.4
133,Jonkoping,SE,2021-10-03 20:04:05,57.7814,14.1562,60.39,88,40,17.27
134,Vaini,TO,2021-10-03 20:02:44,-21.2,-175.2,74.17,81,100,23.31
135,Mahon,ES,2021-10-03 20:04:05,39.8885,4.2658,73.96,83,75,11.5
136,Ucluelet,CA,2021-10-03 20:03:25,48.9329,-125.5528,63.95,82,86,3.0
137,Hasaki,JP,2021-10-03 20:04:05,35.7333,140.8333,66.6,81,0,7.87
138,Gizo,SB,2021-10-03 20:04:06,-8.103,156.8419,81.97,78,12,6.87
139,Tubuala,PA,2021-10-03 20:04:06,9.5167,-79.0333,87.91,81,100,7.2
140,Zapolyarnyy,RU,2021-10-03 20:04:06,69.4154,30.8136,47.48,82,100,16.75
141,Fortuna,US,2021-10-03 20:02:01,40.5982,-124.1573,82.42,84,20,9.22
142,Kashi,CN,2021-10-03 20:03:35,39.4547,75.9797,54.75,59,100,12.59
143,Chumikan,RU,2021-10-03 20:01:08,54.7183,135.315,36.05,72,95,11.72
144,Sao Filipe,CV,2021-10-03 20:04:06,14.8961,-24.4956,80.38,76,99,6.82
145,Bilibino,RU,2021-10-03 20:04:07,68.0546,166.4372,12.36,97,89,4.63
146,Dzerzhinsk,RU,2021-10-03 20:04:07,56.2389,43.4631,42.62,93,75,4.47
147,Shache,CN,2021-10-03 20:04:07,38.4167,77.2406,58.08,27,100,13.73
148,Soltsy,RU,2021-10-03 20:04:07,58.1239,30.3238,44.17,91,38,7.52
149,Prince Rupert,CA,2021-10-03 20:00:50,54.3161,-130.3201,46.31,75,100,11.21
150,Saskylakh,RU,2021-10-03 20:00:42,71.9167,114.0833,17.13,92,99,11.14
