City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Riohacha,CO,84.92,overcast clouds,11.5444,-72.9072,Riohacha
640,Pala,TD,77.92,overcast clouds,9.3642,14.9046,Pala
642,Paciran,ID,81.68,broken clouds,-6.8767,112.3761,SMP Muhammadiyah 12
645,Kieta,PG,80.67,overcast clouds,-6.2167,155.6333,Kieta
652,Aripuana,BR,85.8,broken clouds,-9.1667,-60.6333,Aripuanã
655,Puerto Ayacucho,VE,86.54,overcast clouds,5.6639,-67.6236,Puerto Ayacucho
656,Dhidhdhoo,MV,81.86,overcast clouds,6.8833,73.1,Dhidhdhoo
657,Kaduqli,SD,81.75,broken clouds,11.0167,29.7167,Kadugli
659,Sakakah,SA,76.57,scattered clouds,29.9697,40.2064,Sakaka
661,Chegutu,ZW,77.72,scattered clouds,-18.1302,30.1407,Chegutu
662,Bilma,NE,86.61,broken clouds,18.6853,12.9164,Bilma
664,Pundaguitan,PH,82.56,broken clouds,6.3711,126.1689,Mati
667,Ayolas,PY,75.13,broken clouds,-27.4,-56.9,Ayolas
669,Douglas,US,76.98,clear sky,41.3,-96.167,Omaha
672,Manadhoo,MV,80.35,overcast clouds,5.7667,73.3833,Manadhoo
677,Do Gonbadan,IR,78.89,clear sky,30.3586,50.7981,Gachsaran
679,Laguna,US,79.47,clear sky,38.421,-121.4238,Sacramento
682,Hambantota,LK,79.9,broken clouds,6.1241,81.1185,Hambantota
689,Ilebo,CD,76.17,overcast clouds,-4.3167,20.5833,Ilebo
695,Omboue,GA,76.51,overcast clouds,-1.5746,9.2618,Omboue
699,Galveston,US,76.08,clear sky,29.3669,-94.9669,Texas City
702,Pacific Grove,US,75.58,clear sky,36.6177,-121.9166,Monterey
704,Buriti Dos Lopes,BR,87.55,broken clouds,-3.175,-41.8669,Buriti dos Lopes
706,Ishigaki,JP,75.76,overcast clouds,24.3448,124.1572,Ishigaki
714,Lake Charles,US,75.18,clear sky,30.2131,-93.2044,Lake Charles
716,Takoradi,GH,79.2,scattered clouds,4.8845,-1.7554,Takoradi
