City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Whitianga,NZ,-36.8333,175.7,62.02,97,98,7.52,overcast clouds
130,Camacha,PT,33.0833,-16.3333,68.76,88,40,6.91,scattered clouds
131,Kuyanovo,RU,55.8014,54.5372,46.45,63,100,6.67,overcast clouds
132,Nikolskoye,RU,59.7035,30.7861,41.88,74,92,10.76,light rain
133,Thompson,CA,55.7435,-97.8558,53.76,47,20,4.61,few clouds
134,Chokurdakh,RU,70.6333,147.9167,-7.42,100,100,2.71,overcast clouds
135,Lompoc,US,34.6391,-120.4579,75.69,67,1,13.8,clear sky
136,New Norfolk,AU,-42.7826,147.0587,51.3,70,100,1.99,overcast clouds
137,Tineo,ES,43.3376,-6.4145,58.24,80,100,4.12,overcast clouds
138,Breznik,BG,42.7414,22.8981,49.21,86,92,2.46,overcast clouds
139,San Luis,AR,-33.295,-66.3356,73.26,20,27,11.12,scattered clouds
140,Nacala,MZ,-14.5428,40.6728,76.64,81,1,10.2,clear sky
141,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,9.22,scattered clouds
142,Byron Bay,AU,-28.65,153.6167,61.88,70,98,5.17,overcast clouds
143,Alta Floresta,BR,-9.8756,-56.0861,93.02,49,20,3.44,few clouds
144,Magadan,RU,59.5667,150.8,17.49,53,100,14.54,overcast clouds
145,Bordighera,IT,43.7806,7.6645,63.55,72,0,8.01,clear sky
146,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,14.97,clear sky
147,Ozinki,RU,51.1786,49.6769,50.99,62,100,8.08,moderate rain
148,Luderitz,NA,-26.6481,15.1594,60.28,54,27,24.9,scattered clouds
149,Tazovskiy,RU,67.4667,78.7,34.74,93,100,11.54,overcast clouds
150,Bambous Virieux,MU,-20.3428,57.7575,73.22,75,45,16.64,scattered clouds
151,Miranda,CO,3.2499,-76.2281,78.93,97,97,1.63,overcast clouds
152,Sechura,PE,-5.5569,-80.8222,76.48,60,78,15.46,broken clouds
153,Bengkulu,ID,-3.8004,102.2655,75.29,94,100,7.58,overcast clouds
154,Carnarvon,AU,-24.8667,113.6333,68.07,56,90,6.91,overcast clouds
155,Zalantun,CN,48.0,122.7167,27.09,69,77,6.26,broken clouds
156,Dikson,RU,73.5069,80.5464,31.19,99,100,2.62,light snow
157,Garango,BF,11.8,-0.5506,89.56,29,93,1.05,overcast clouds
158,Puerto Lempira,HN,15.2667,-83.7667,82.54,83,40,11.5,thunderstorm
159,Xiongzhou,CN,25.1167,114.3,56.48,80,87,3.22,overcast clouds
160,Missao Velha,BR,-7.2497,-39.1431,95.49,26,40,9.22,scattered clouds
161,Mormugao,IN,15.4,73.8,80.44,80,63,9.98,broken clouds
162,Maumere,ID,-8.6199,122.2111,80.01,82,87,1.92,overcast clouds
163,Port-Gentil,GA,-0.7193,8.7815,78.35,82,79,12.01,broken clouds
164,Santa Rosa,PH,14.3122,121.1114,81.1,82,98,7.87,light rain
165,Goderich,CA,43.7501,-81.7165,57.9,51,27,16.11,scattered clouds
166,Leh,IN,34.1667,77.5833,41.68,79,100,2.44,overcast clouds
167,Codrington,AU,-38.2667,141.9667,43.34,93,50,6.49,scattered clouds
168,Lensk,RU,60.7253,114.9278,22.6,86,100,10.02,overcast clouds
169,Cam Ranh,VN,11.9214,109.1591,76.96,94,40,3.44,scattered clouds
